ID,HospitalName,Address,City,County,State,Zipcode,RatingBelow6,Rating7-8,Rating9-10,Latitude,Longitude
585,BIGGS GRIDLEY MEMORIAL HOSPITAL,240 SPRUCE STREET,GRIDLEY,BUTTE,CA,95948,,,,39.35217,-121.71129
586,MOUNTAINS COMMUNITY HOSPITAL,29101 HOSPITAL ROAD,LAKE ARROWHEAD,SAN BERNARDINO,CA,92352,,,,34.25629,-117.19132
587,KERN VALLEY HEALTHCARE DISTRICT,6412 LAUREL AVE,LAKE ISABELLA,KERN,CA,93240,,,,35.617148,-118.45299
588,TRINITY HOSPITAL,60 EASTER AVENUE,WEAVERVILLE,TRINITY,CA,96093,,,,40.734483,-122.93982
589,FAIRCHILD MEDICAL CENTER,444 BRUCE STREET,YREKA,SISKIYOU,CA,96097,0.08,0.27,0.65,41.749249,-122.64479
590,ST HELENA HOSPITAL-CLEARLAKE,15630 18TH AVE - HWY 53,CLEARLAKE,LAKE,CA,95422,0.24,0.29,0.47,38.956206,-122.63523
591,REDWOOD MEMORIAL HOSPITAL,3300 RENNER DRIVE,FORTUNA,HUMBOLDT,CA,95540,,,,40.583488,-124.14367
592,MERCY MEDICAL CENTER MT SHASTA,914 PINE STREET,MOUNT SHASTA,SISKIYOU,CA,96067,0.04,0.17,0.79,41.317771,-122.31207
593,BANNER LASSEN MEDICAL CENTER,1800 SPRING RIDGE DRIVE,SUSANVILLE,LASSEN,CA,96130,0.04,0.17,0.79,40.474951,-120.67685
594,HEALDSBURG DISTRICT HOSPITAL,1375 UNIVERSITY AVENUE,HEALDSBURG,SONOMA,CA,95448,0.07,0.16,0.77,38.614088,-122.87626
595,COLORADO RIVER MEDICAL CENTER,1401 BAILEY AVE,NEEDLES,SAN BERNARDINO,CA,92363,,,,34.808718,-114.62664
596,NORTHERN INYO HOSPITAL,150 PIONEER LANE,BISHOP,INYO,CA,93514,0.11,0.25,0.64,37.282192,-118.38717
597,MENDOCINO COAST DISTRICT HOSPITAL,700 RIVER DR,FORT BRAGG,MENDOCINO,CA,95437,0.1,0.27,0.63,39.43695,-123.76087
598,PLUMAS DISTRICT HOSPITAL,1065 BUCKS LAKE ROAD,QUINCY,PLUMAS,CA,95971,,,,39.957324,-120.98366
599,TAHOE FOREST HOSPITAL,10121 PINE AVE,TRUCKEE,NEVADA,CA,96161,0.03,0.14,0.83,39.339574,-120.22805
600,SUTTER LAKESIDE HOSPITAL,5176 HILL ROAD EAST,LAKEPORT,LAKE,CA,95453,0.08,0.23,0.69,39.051698,-122.92071
601,MODOC MEDICAL CENTER,228 W MCDOWELL AVE,ALTURAS,MODOC,CA,96101,,,,41.439363,-120.58771
602,SANTA YNEZ VALLEY COTTAGE HOSPITAL,2050 VIBORG RD,SOLVANG,SANTA BARBARA,CA,93463,0.02,0.14,0.84,34.608938,-120.13838
603,MARK TWAIN MEDICAL CENTER,768 MOUNTAIN RANCH RD,SAN ANDREAS,CALAVERAS,CA,95249,0.1,0.23,0.67,38.192823,-120.64285
604,CHILDREN'S HOSP OF LOS ANGELES,4650 SUNSET BLVD,LOS ANGELES,LOS ANGELES,CA,90027,,,,34.111208,-118.28842
605,LUCILE SALTER PACKARD CHILDREN'S HSP AT STANFORD,725 WELCH ROAD,PALO ALTO,SANTA CLARA,CA,94304,,,,37.397823,-122.16605
606,MILLER CHILDREN'S HOSPITAL,2801 ATLANTIC AVENUE,LONG BEACH,LOS ANGELES,CA,90806,,,,33.801767,-118.1858
607,NORTH COLORADO MEDICAL CENTER,1801 16TH STREET,GREELEY,WELD,CO,80631,0.05,0.19,0.76,40.421845,-104.69175
608,LONGMONT UNITED HOSPITAL,1950 MOUNTAIN VIEW AVENUE,LONGMONT,BOULDER,CO,80501,0.07,0.18,0.75,40.171484,-105.10033
609,PLATTE VALLEY MEDICAL CENTER,1600 PRAIRIE CENTER PARKWAY,BRIGHTON,ADAMS,CO,80601,0.08,0.2,0.72,39.973251,-104.82407
610,MONTROSE MEMORIAL HOSPITAL,800 S 3RD ST,MONTROSE,MONTROSE,CO,81401,0.06,0.22,0.72,38.436409,-107.8625
611,SAN LUIS VALLEY REGIONAL MEDICAL CENTER,106 BLANCA AVE,ALAMOSA,ALAMOSA,CO,81101,0.17,0.36,0.47,37.471802,-105.83471
612,EXEMPLA LUTHERAN MEDICAL CENTER,8300 W 38TH AVE,WHEAT RIDGE,JEFFERSON,CO,80033,0.05,0.19,0.76,39.774341,-105.10036
613,POUDRE VALLEY HOSPITAL,1024 S LEMAY AVE,FORT COLLINS,LARIMER,CO,80524,0.04,0.16,0.8,40.606962,-105.05106
614,DENVER HEALTH MEDICAL CENTER,777 BANNOCK ST,DENVER,DENVER,CO,80204,0.07,0.23,0.7,39.734686,-105.01966
615,CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER,1008 MINNEQUA AVE,PUEBLO,PUEBLO,CO,81004,0.07,0.19,0.74,38.197344,-104.6331
616,MERCY REGIONAL MEDICAL CENTER,1010 THREE SPRINGS BLVD,DURANGO,LA PLATA,CO,81301,0.03,0.15,0.82,37.295888,-107.84945
617,PRESBYTERIAN/ST LUKE'S MEDICAL CENTER,1719 E 19TH AVE,DENVER,DENVER,CO,80218,0.07,0.24,0.69,39.731237,-104.97133
619,CENTURA HEALTH-ST THOMAS MORE HOSPITAL,1338 PHAY AVE,CANON CITY,FREMONT,CO,81212,0.11,0.27,0.62,38.464212,-105.27973
620,PARKVIEW MEDICAL CENTER INC,400 W 16TH STREET,PUEBLO,PUEBLO,CO,81003,0.06,0.18,0.76,38.281052,-104.62567
621,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,1400 E BOULDER ST,COLORADO SPRINGS,EL PASO,CO,80909,0.09,0.23,0.68,38.851493,-104.77856
622,ST MARYS HOSPITAL AND MEDICAL CENTER,2635 N 7TH STREET,GRAND JUNCTION,MESA,CO,81502,0.07,0.22,0.71,39.017876,-108.481354
623,UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT,12605 EAST 16TH AVENUE,AURORA,ADAMS,CO,80045,0.06,0.17,0.77,39.746736,-104.838361
624,BOULDER COMMUNITY HOSPITAL,1100 BALSAM AVENUE,BOULDER,BOULDER,CO,80304,0.07,0.24,0.69,40.039784,-105.27938
625,EXEMPLA SAINT JOSEPH HOSPITAL,1835 FRANKLIN ST,DENVER,DENVER,CO,80218,0.06,0.19,0.75,39.731237,-104.97133
627,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,2222 N NEVADA AVE,COLORADO SPRINGS,EL PASO,CO,80907,0.08,0.2,0.72,38.873692,-104.81869
628,ROSE MEDICAL CENTER,4567 E 9TH AVENUE,DENVER,DENVER,CO,80220,0.07,0.18,0.75,39.734387,-104.91678
630,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,1100 CARSON AVENUE,LA JUNTA,OTERO,CO,81050,0.15,0.27,0.58,37.995879,-103.54001
631,KEEFE MEMORIAL HOSPITAL,602 N 6TH W ST,CHEYENNE WELLS,CHEYENNE,CO,80810,0.02,0.29,0.69,38.846982,-102.37913
632,COLORADO PLAINS MEDICAL CENTER,1000 LINCOLN ST,FORT MORGAN,MORGAN,CO,80701,0.07,0.22,0.71,40.226357,-103.80625
633,YAMPA VALLEY MEDICAL CENTER,1024 CENTRAL PARK DR,STEAMBOAT SPRINGS,ROUTT,CO,80487,0.04,0.15,0.81,40.502772,-106.87521
634,COMMUNITY HOSPITAL,2021 N 12TH ST,GRAND JUNCTION,MESA,CO,81501,0.09,0.22,0.69,39.072831,-108.55
635,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,2525 S DOWNING ST,DENVER,DENVER,CO,80210,0.06,0.21,0.73,39.679437,-104.96473
637,DELTA COUNTY MEMORIAL HOSPITAL,1501 E 3RD STREET,DELTA,DELTA,CO,81416,0.09,0.22,0.69,38.733901,-108.08219
638,VALLEY VIEW HOSPITAL ASSOCIATION,1906 BLAKE AVE,GLENWOOD SPRINGS,GARFIELD,CO,81601,0.04,0.17,0.79,39.533318,-107.32107
639,STERLING REGIONAL MEDCENTER,615 FAIRHURST ST,STERLING,LOGAN,CO,80751,0.08,0.24,0.68,40.633845,-103.21574
640,VAIL VALLEY MEDICAL CENTER,181 W MEADOW DRIVE,VAIL,EAGLE,CO,81657,0.06,0.19,0.75,39.634566,-106.37077
642,CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL,100 HEALTH PARK DRIVE,LOUISVILLE,BOULDER,CO,80027,0.04,0.13,0.83,39.963322,-105.15053
643,CENTURA HEALTH-ST ANTHONY NORTH HOSPITAL,2551 W 84TH AVENUE,WESTMINSTER,JEFFERSON,CO,80031,0.1,0.24,0.66,39.866785,-105.04143
644,NATIONAL JEWISH HEALTH,1400 JACKSON ST,DENVER,DENVER,CO,80206,0,0,1,39.731237,-104.95243
646,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,7700 S BROADWAY,LITTLETON,ARAPAHOE,CO,80122,0.07,0.2,0.73,39.582604,-104.95834
647,PARKER ADVENTIST HOSPITAL,9395 CROWN CREST BLVD,PARKER,DOUGLAS,CO,80138,0.08,0.16,0.76,39.523171,-104.70607
648,EXEMPLA GOOD SAMARITAN MEDICAL CENTER LLC,200 EXEMPLA CIRCLE,LAFAYETTE,BOULDER,CO,80026,0.05,0.18,0.77,40.002156,-105.10036
650,ST ANTHONY SUMMIT MEDICAL CENTER,340 PEAK ONE DRIVE,FRISCO,SUMMIT,CO,80443,0.04,0.12,0.84,39.532506,-106.14029
651,MEDICAL CENTER OF THE ROCKIES,2500 ROCKY MOUNTAIN AVENUE,LOVELAND,LARIMER,CO,80538,0.04,0.11,0.85,40.435645,-105.08726
653,RIO GRANDE HOSPITAL,310 COUNTY RD 14,DEL NORTE,RIO GRANDE,CO,81132,0.06,0.27,0.67,37.731981,-106.39774
654,FAMILY HEALTH WEST HOSPITAL,300 WEST OTTLEY AVENUE,FRUITA,MESA,CO,81521,,,,39.159971,-108.72071
655,EAST MORGAN COUNTY HOSPITAL DISTRICT,2400 W EDISON ST,BRUSH,MORGAN,CO,80723,0.03,0.14,0.83,40.23045,-103.60824
656,MELISSA MEMORIAL HOSPITAL,1001 E JOHNSON STREET,HOLYOKE,PHILLIPS,CO,80734,,,,40.582954,-102.30451
657,RANGELY DISTRICT HOSPITAL,225 EAGLECREST,RANGELY,RIO BLANCO,CO,81648,,,,40.011447,-108.77528
658,WRAY COMMUNITY DISTRICT HOSPITAL,1017 W 7TH ST,WRAY,YUMA,CO,80758,0.1,0.2,0.7,40.064734,-102.21336
659,SEDGWICK COUNTY MEMORIAL HOSPITAL,900 CEDAR STREET,JULESBURG,SEDGWICK,CO,80737,,,,40.916929,-102.21858
660,SOUTHEAST COLORADO HOSPITAL,373 E TENTH AVE,SPRINGFIELD,BACA,CO,81073,,,,37.409787,-102.61726
661,ESTES PARK MEDICAL CENTER,555 PROSPECT AVENUE,ESTES PARK,LARIMER,CO,80517,0.07,0.28,0.65,40.370415,-105.51722
662,KIT CARSON COUNTY MEMORIAL HOSPITAL,286 16TH STREET,BURLINGTON,KIT CARSON,CO,80807,,,,39.3124,-102.25094
664,YUMA DISTRICT HOSPITAL - CAH,1000 WEST 8TH AVENUE,YUMA,YUMA,CO,80759,,,,40.169249,-102.69005
665,SPANISH PEAKS REGIONAL HEALTH CENTER,23500 US HWY 160,WALSENBURG,HUERFANO,CO,81089,,,,37.621071,-104.80456
666,GRAND RIVER MEDICAL CENTER,501 AIRPORT ROAD,RIFLE,GARFIELD,CO,81650,,,,39.603225,-107.89755
667,ST VINCENT HOSPITAL GENERAL DISTRICT,822 W 4TH STREET,LEADVILLE,LAKE,CO,80461,,,,39.231776,-106.31399
668,GUNNISON VALLEY HOSPITAL,711 N TAYLOR STREET,GUNNISON,GUNNISON,CO,81230,0.03,0.19,0.78,38.464132,-106.95776
669,MT SAN RAFAEL HOSPITAL,410 BENEDICTA AVENUE,TRINIDAD,LAS ANIMAS,CO,81082,0.2,0.12,0.68,37.191882,-104.47809
670,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,1000 RUSH DRIVE,SALIDA,CHAFFEE,CO,81201,0.05,0.2,0.75,38.533464,-106.03468
671,PROWERS MEDICAL CENTER,401 KENDALL DRIVE,LAMAR,PROWERS,CO,81052,,,,38.08759,-102.61855
672,ASPEN VALLEY HOSPITAL,0401 CASTLE CREEK ROAD,ASPEN,PITKIN,CO,81611,0.05,0.18,0.77,39.196857,-106.8191
673,PIONEERS MEDICAL CENTER,345 CLEVELAND STREET,MEEKER,RIO BLANCO,CO,81641,0,0.19,0.81,40.042797,-107.92158
674,PIKES PEAK REGIONAL HOSPITAL,16420 HIGHWAY 24,WOODLAND PARK,TELLER,CO,80863,0.04,0.15,0.81,38.996004,-105.06335
675,SOUTHWEST MEMORIAL HOSPITAL,1311 N MILDRED RD,CORTEZ,MONTEZUMA,CO,81321,0.08,0.3,0.62,37.344985,-108.60355
676,PAGOSA MOUNTAIN HOSPITAL,95 SOUTH PAGOSA BOULEVARD,PAGOSA SPRINGS,ARCHULETA,CO,81147,,,,37.241179,-107.11287
677,CHILDRENS HOSPITAL COLORADO,13123 EAST 16TH AVENUE,AURORA,ADAMS,CO,80045,,,,39.746736,-104.838361
678,ST FRANCIS HOSPITAL & MEDICAL CENTER,114 WOODLAND STREET,HARTFORD,HARTFORD,CT,6105,0.08,0.23,0.69,41.771166,-72.70255
679,DAY KIMBALL HOSPITAL,320 POMFRET STREET,PUTNAM,WINDHAM,CT,6260,0.09,0.25,0.66,41.913816,-71.88434
681,WATERBURY HOSPITAL,64 ROBBINS ST,WATERBURY,NEW HAVEN,CT,6721,0.13,0.3,0.57,41.365709,-72.927507
682,STAMFORD HOSPITAL,30 SHELBURNE ROAD,STAMFORD,FAIRFIELD,CT,6904,0.07,0.22,0.71,41.308873,-73.363661
683,LAWRENCE & MEMORIAL HOSPITAL,365 MONTAUK AVE,NEW LONDON,NEW LONDON,CT,6320,0.07,0.27,0.66,41.352498,-72.10338
684,JOHNSON MEMORIAL HOSPITAL,201 CHESTNUT HILL RD,STAFFORD SPRINGS,TOLLAND,CT,6076,0.11,0.31,0.58,41.979871,-72.27863
685,BRIDGEPORT HOSPITAL,267 GRANT STREET,BRIDGEPORT,FAIRFIELD,CT,6610,0.08,0.25,0.67,41.202091,-73.1708
686,CHARLOTTE HUNGERFORD HOSPITAL,540 LITCHFIELD ST,TORRINGTON,LITCHFIELD,CT,6790,0.09,0.29,0.62,41.820274,-73.11787
688,NEW MILFORD HOSPITAL,21 ELM ST,NEW MILFORD,LITCHFIELD,CT,6776,0.08,0.21,0.71,41.581494,-73.41313
689,SAINT MARYS HOSPITAL,56 FRANKLIN ST,WATERBURY,NEW HAVEN,CT,6706,0.1,0.23,0.67,41.537896,-73.02827
690,MIDSTATE MEDICAL CENTER,435 LEWIS AVE,MERIDEN,NEW HAVEN,CT,6450,0.07,0.19,0.74,41.532048,-72.78145
691,GREENWICH HOSPITAL ASSOCIATION,5 PERRYRIDGE RD,GREENWICH,FAIRFIELD,CT,6830,0.04,0.16,0.8,41.03073,-73.62985
693,MIDDLESEX HOSPITAL,28 CRESCENT ST,MIDDLETOWN,MIDDLESEX,CT,6457,0.06,0.19,0.75,41.553672,-72.6632
694,WINDHAM COMM MEM HOSP & HATCH HOSP,112 MANSFIELD AVE,WILLIMANTIC,WINDHAM,CT,6226,0.11,0.29,0.6,41.714867,-72.20934
695,YALE-NEW HAVEN HOSPITAL,20 YORK ST,NEW HAVEN,NEW HAVEN,CT,6504,0.08,0.2,0.72,41.304697,-72.93561
696,WILLIAM W BACKUS HOSPITAL,326 WASHINGTON ST,NORWICH,NEW LONDON,CT,6360,0.09,0.28,0.63,41.533848,-72.06232
697,HARTFORD HOSPITAL,80 SEYMOUR STREET,HARTFORD,HARTFORD,CT,6102,0.07,0.27,0.66,41.791776,-72.718832
698,MANCHESTER MEMORIAL HOSPITAL,71 HAYNES ST,MANCHESTER,HARTFORD,CT,6040,0.1,0.29,0.61,41.778888,-72.52384
699,ST VINCENT'S MEDICAL CENTER,2800 MAIN ST,BRIDGEPORT,FAIRFIELD,CT,6606,0.08,0.26,0.66,41.209496,-73.20771
700,BRISTOL HOSPITAL,BREWSTER RD,BRISTOL,HARTFORD,CT,6010,0.09,0.26,0.65,41.682249,-72.93365
701,GRIFFIN HOSPITAL,130 DIVISION ST,DERBY,NEW HAVEN,CT,6418,0.08,0.19,0.73,41.323005,-73.08433
702,DANBURY HOSPITAL,24 HOSPITAL AVE,DANBURY,FAIRFIELD,CT,6810,0.09,0.21,0.7,41.390194,-73.45441
703,NORWALK HOSPITAL ASSOCIATION,24 STEVENS STREET,NORWALK,FAIRFIELD,CT,6856,0.07,0.28,0.65,41.111196,-73.420363
705,JOHN DEMPSEY HOSPITAL,263 FARMINGTON AVE,FARMINGTON,HARTFORD,CT,6032,0.08,0.26,0.66,41.725195,-72.83032
706,MASONIC HOME AND HOSPITAL,22 MASONIC AVE,WALLINGFORD,NEW HAVEN,CT,6492,0.17,0.31,0.52,41.457711,-72.81704
708,CONNECTICUT CHILDRENS MEDICAL CENTER,282 WASHINGTON STREET,HARTFORD,HARTFORD,CT,6106,,,,41.7469,-72.69593
710,ST FRANCIS HOSPITAL,7TH AND CLAYTON STS,WILMINGTON,NEW CASTLE,DE,19805,0.11,0.24,0.65,39.745377,-75.58251
711,BAYHEALTH - KENT GENERAL HOSPITAL,640 S STATE STREET,DOVER,KENT,DE,19901,0.09,0.27,0.64,39.16426,-75.51163
712,NANTICOKE MEMORIAL HOSPITAL,801 MIDDLEFORD RD,SEAFORD,SUSSEX,DE,19973,0.07,0.2,0.73,38.643248,-75.61102
713,BEEBE MEDICAL CENTER,424 SAVANNAH RD,LEWES,SUSSEX,DE,19958,0.05,0.24,0.71,38.746207,-75.16282
714,BAYHEALTH - MILFORD MEMORIAL HOSPITAL,21 WEST CLARKE AVENUE,MILFORD,SUSSEX,DE,19963,0.1,0.29,0.61,38.922806,-75.41449
715,GEORGE WASHINGTON UNIV HOSPITAL,900 23RD ST NW,WASHINGTON,DISTRICT OF COLUMBIA,DC,20037,0.08,0.26,0.66,38.900394,-77.05126
716,HOWARD UNIVERSITY HOSPITAL,2041 GEORGIA AVE NW,WASHINGTON,DISTRICT OF COLUMBIA,DC,20060,0.19,0.27,0.54,38.918011,-77.020398
717,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,3800 RESERVOIR RD,WASHINGTON,DISTRICT OF COLUMBIA,DC,20007,0.08,0.25,0.67,38.913961,-77.07179
718,SIBLEY MEMORIAL HOSPITAL,5255 LOUGHBORO RD NW,WASHINGTON,DISTRICT OF COLUMBIA,DC,20016,0.08,0.26,0.66,38.94081,-77.08723
719,PROVIDENCE HOSPITAL,1150 VARNUM ST NE,WASHINGTON,DISTRICT OF COLUMBIA,DC,20017,0.13,0.26,0.61,38.937478,-76.99125
720,UNITED MEDICAL CENTER,1310 SOUTHERN AVENUE  SE,WASHINGTON,DISTRICT OF COLUMBIA,DC,20032,0.28,0.36,0.36,38.836145,-77.00058
721,MEDSTAR WASHINGTON HOSPITAL CENTER,110 IRVING ST NW,WASHINGTON,DISTRICT OF COLUMBIA,DC,20010,0.11,0.24,0.65,38.933311,-77.02929
723,SHANDS JACKSONVILLE MEDICAL CENTER,655 W 8TH ST,JACKSONVILLE,DUVAL,FL,32209,0.11,0.2,0.69,30.354588,-81.69113
724,BETHESDA  HOSPITAL EAST,2815 S SEACREST BLVD,BOYNTON BEACH,PALM BEACH,FL,33435,0.11,0.21,0.68,26.524549,-80.06321
725,ORLANDO HEALTH,1414 S KUHL AVE,ORLANDO,ORANGE,FL,32806,0.07,0.19,0.74,28.51483,-81.36054
726,FLORIDA HOSPITAL,601 E ROLLINS ST,ORLANDO,ORANGE,FL,32803,0.09,0.21,0.7,28.557579,-81.35244
727,BAPTIST HOSPITAL OF MIAMI INC,8900 N KENDALL DR,MIAMI,MIAMI-DADE,FL,33176,0.08,0.15,0.77,25.653431,-80.35999
728,UNIVERSITY OF MIAMI HOSPITAL,1400 NW 12TH AVE,MIAMI,MIAMI-DADE,FL,33136,0.1,0.23,0.67,25.786326,-80.2029
729,LEE MEMORIAL HOSPITAL,2776 CLEVELAND AVE,FORT MYERS,LEE,FL,33901,0.1,0.26,0.64,26.62365,-81.8727
730,BERT FISH MEDICAL CENTER,401 PALMETTO ST,NEW SMYRNA BEACH,VOLUSIA,FL,32170,0.09,0.24,0.67,29.022729,-81.172169
731,HALIFAX HEALTH MEDICAL CENTER,303 N CLYDE MORRIS BLVD,DAYTONA BEACH,VOLUSIA,FL,32114,0.12,0.23,0.65,29.204009,-81.03602
732,NAPLES COMMUNITY HOSPITAL,350 7TH ST N,NAPLES,COLLIER,FL,34102,0.11,0.25,0.64,26.142938,-81.79852
733,HOLMES REGIONAL MEDICAL CENTER,1350 S HICKORY ST,MELBOURNE,BREVARD,FL,32901,0.09,0.26,0.65,28.077494,-80.61987
734,JACKSON MEMORIAL HOSPITAL,1611 NW 12TH AVE,MIAMI,MIAMI-DADE,FL,33136,0.14,0.28,0.58,25.786326,-80.2029
735,CITRUS MEMORIAL HOSPITAL,502 W HIGHLAND BLVD,INVERNESS,CITRUS,FL,34452,0.13,0.28,0.59,28.793722,-82.35021
736,SACRED HEART HOSPITAL,5151 N 9TH AVE,PENSACOLA,ESCAMBIA,FL,32504,0.07,0.19,0.74,30.48787,-87.18937
737,BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM,615 N BONITA AVE,PANAMA CITY,BAY,FL,32401,0.08,0.21,0.71,30.161901,-85.65297
738,PARRISH MEDICAL CENTER,951 N WASHINGTON AVE,TITUSVILLE,BREVARD,FL,32796,0.08,0.24,0.68,28.623371,-80.84123
739,NORTH SHORE MEDICAL CENTER,1100 NW 95TH ST,MIAMI,MIAMI-DADE,FL,33150,0.17,0.28,0.55,25.851974,-80.20566
740,HEALTH CENTRAL,10000 W COLONIAL DR,OCOEE,ORANGE,FL,34761,0.13,0.26,0.61,28.574628,-81.52946
741,BAYFRONT MEDICAL CENTER INC,701 6TH ST S,SAINT PETERSBURG,PINELLAS,FL,33701,0.14,0.2,0.66,27.770955,-82.63931
742,MOUNT SINAI MEDICAL CENTER,4300 ALTON RD,MIAMI BEACH,MIAMI-DADE,FL,33140,0.11,0.25,0.64,25.814225,-80.13085
743,MANATEE MEMORIAL HOSPITAL,206 2ND ST E,BRADENTON,MANATEE,FL,34208,0.11,0.26,0.63,27.486448,-82.535
744,MEMORIAL REGIONAL HOSPITAL,3501 JOHNSON ST,HOLLYWOOD,BROWARD,FL,33021,0.06,0.19,0.75,26.023634,-80.18922
745,BROWARD HEALTH MEDICAL CENTER,1600 S ANDREWS AVE,FORT LAUDERDALE,BROWARD,FL,33316,0.12,0.22,0.66,26.101114,-80.12931
746,ST VINCENT'S MEDICAL CENTER,1 SHIRCLIFF WAY,JACKSONVILLE,DUVAL,FL,32204,0.07,0.24,0.69,30.323806,-81.68174
747,MEASE HOSPITAL DUNEDIN,601 MAIN STREET,DUNEDIN,PINELLAS,FL,34698,0.07,0.23,0.7,28.025395,-82.77534
748,MARTIN MEDICAL CENTER,200 SE HOSPITAL AVE,STUART,MARTIN,FL,34995,0.08,0.23,0.69,27.17537,-80.241512
749,FLORIDA HOSPITAL DELAND,701 W PLYMOUTH AVE,DELAND,VOLUSIA,FL,32720,0.11,0.29,0.6,29.021782,-81.33352
750,FLORIDA HOSPITAL ZEPHYRHILLS,7050 GALL BLVD,ZEPHYRHILLS,PASCO,FL,33541,0.13,0.27,0.6,28.234624,-82.20022
751,CHARLOTTE REGIONAL MEDICAL CENTER,809 E MARION AVE,PUNTA GORDA,CHARLOTTE,FL,33950,0.15,0.34,0.51,26.914393,-82.04106
752,JAY HOSPITAL,14114 ALABAMA ST,JAY,SANTA ROSA,FL,32565,0.05,0.2,0.75,30.902015,-87.13267
753,HIGHLANDS REGIONAL MEDICAL CENTER,3600 S HIGHLANDS AVE,SEBRING,HIGHLANDS,FL,33870,0.16,0.33,0.51,27.483817,-81.42131
754,PALM SPRINGS GENERAL HOSPITAL,1475 W 49TH ST,HIALEAH,MIAMI-DADE,FL,33012,0.22,0.28,0.5,25.864773,-80.30069
755,SOUTH LAKE HOSPITAL,1900 DON WICKHAM DR,CLERMONT,LAKE,FL,34711,0.08,0.24,0.68,28.545742,-81.74805
756,WINTER HAVEN HOSPITAL,200 AVE F NE,WINTER HAVEN,POLK,FL,33881,0.09,0.26,0.65,28.051985,-81.72457
757,HIALEAH HOSPITAL,651 E 25TH ST,HIALEAH,MIAMI-DADE,FL,33013,0.16,0.26,0.58,25.860373,-80.27174
758,TWIN CITIES HOSPITAL,2190 HWY 85 N,NICEVILLE,OKALOOSA,FL,32578,0.07,0.2,0.73,30.500901,-86.45335
759,FLORIDA HOSPITAL NORTH PINELLAS,1395 S PINELLAS AVE,TARPON SPRINGS,PINELLAS,FL,34689,0.15,0.26,0.59,28.149691,-82.75339
760,FLORIDA HOSPITAL WATERMAN,1000 WATERMAN WAY,TAVARES,LAKE,FL,32778,0.11,0.25,0.64,28.799017,-81.73184
761,MUNROE REGIONAL MEDICAL CENTER,1500 SW 1ST AVE,OCALA,MARION,FL,34474,0.09,0.23,0.68,29.166186,-82.17027
762,MORTON PLANT NORTH BAY HOSPITAL,6600 MADISON STREET,NEW PORT RICHEY,PASCO,FL,34652,0.08,0.24,0.68,28.237582,-82.72818
763,ST ANTHONY'S HOSPITAL,1200 7TH AVENUE NORTH,SAINT PETERSBURG,PINELLAS,FL,33705,0.1,0.21,0.69,27.741306,-82.64349
764,FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER,301 MEMORIAL MEDICAL PARKWAY,DAYTONA BEACH,VOLUSIA,FL,32117,0.05,0.15,0.8,29.238606,-81.05316
765,FLORIDA HOSPITAL CARROLLWOOD,7171 NORTH DALE MABRY,TAMPA,HILLSBOROUGH,FL,33614,0.1,0.25,0.65,28.006247,-82.50632
766,VENICE REGIONAL MEDICAL CENTER,540 THE RIALTO,VENICE,SARASOTA,FL,34285,0.13,0.26,0.61,27.091783,-82.44846
767,BROOKSVILLE REGIONAL HOSPITAL,17240 CORTEZ BLVD,BROOKSVILLE,HERNANDO,FL,34601,0.19,0.31,0.5,28.566183,-82.38002
768,FLORIDA HOSPITAL FISH MEMORIAL,1055 SAXON BLVD,ORANGE CITY,VOLUSIA,FL,32763,0.14,0.26,0.6,28.945857,-81.30512
769,HOLY CROSS HOSPITAL INC,4725 N FEDERAL HWY,FORT LAUDERDALE,BROWARD,FL,33308,0.1,0.22,0.68,26.191111,-80.10846
770,ST JOSEPH'S HOSPITAL,3001 W MARTIN LUTHER KING JR BLVD,TAMPA,HILLSBOROUGH,FL,33677,0.07,0.19,0.74,27.871964,-82.438841
771,METROPOLITAN HOSPITAL OF MIAMI,5959 NW 7TH ST,MIAMI,MIAMI-DADE,FL,33126,0.27,0.25,0.48,25.777977,-80.29718
772,PEACE RIVER REGIONAL MEDICAL CENTER,2500 HARBOR BLVD,PORT CHARLOTTE,CHARLOTTE,FL,33952,0.2,0.3,0.5,26.993876,-82.09821
774,HEALTHMARK REGIONAL MEDICAL CENTER,4413 US HWY 331 S,DEFUNIAK SPRINGS,WALTON,FL,32435,0.07,0.19,0.74,30.603777,-86.12111
775,LEESBURG REGIONAL MEDICAL CENTER,600 E DIXIE AVE,LEESBURG,LAKE,FL,34748,0.11,0.26,0.63,28.797245,-81.88466
776,BROWARD HEALTH NORTH,201 E SAMPLE RD,POMPANO BEACH,BROWARD,FL,33064,0.1,0.19,0.71,26.279108,-80.11319
